4,1524
6,1588
8,1599
24,1616
25,1616
27,1630
28,1595
29,1641
31,1593
37,1560
40,1600
41,1611
43,1609
49,1643
50,1616
54,1571
55,1630
56,1576
64,1670
66,1611
10,1624
11,1593
15,1600
19,1568
35,1562
51,1583
52,1593
57,1598
60,1648
61,1502
65,1579
69,1582
70,1624
16,1602
21,1616
26,1616
34,1563
36,1622
45,1571
47,1572
58,1622
63,1610
67,1534
68,1578
2,1657
3,1591
12,1588
14,1587
38,1640
46,1555
62,1554
5,1544
7,1599
18,1613
53,1622
59,1599
1,1581
9,1631
32,1646
44,1625
33,1656
39,1603
20,1627
42,1553
48,1572
17,1569
23,1563
30,1567
22,1527
13,1570
